sha256,App_name,Number of category
1147A54558BB50FBD1A6741701498EA98D245D92E5CD45CCDAB482CED4E70302,Amex,3
sha256,App_name,Number of category
4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B,4EAC80EE6CBF3A00F5654DEC62BDA6EB294B4A11F578F3B0221194346321646B.apk,3
sha256,App_name,Number of category
4E1BF11BBC25FFE593FE749FD3D02A688522A12FF3302F0AD4AB6F5DAFD62B9E,State Street Bank,4
sha256,App_name,Number of category
98972E283C1CFD2E5ED0FF19F0039C878634CAC54B519DC4B1382734493FA093,Citi Mobile,2
sha256,App_name,Number of category
104EB5E6B2DEF5B415AA94FD248EBBB5C85FBD84CE7B40871536129139AE3EEB,BNYMellonWealth,2
sha256,App_name,Number of category
AFF1FD3AD49B8A214E101201002D278F573EA3526A02A4F3E325DED51E17D0D5,Citizens,1
sha256,App_name,Number of category
E247CCEC1EACEC296FD6A337535AE7F21FAFCD51892920DE07D3E78C349CE357,SVB Go,4
sha256,App_name,Number of category
2F8007BB1DF54B91BAD8406F0D7786F6A9425D3A9C69917F25EC4E44D5CBB7C3,Schwab,3
sha256,App_name,Number of category
E68E7BA1BF7C4751EC151F2186DCE505183741396632500A154D902874F3FA2B,Fifth Third,3
sha256,App_name,Number of category
CE5D9628DB62203ECFC409E0FE48A970FB8EC256E2D103CEBA0042CB213EA434,HSBC US,3
sha256,App_name,Number of category
F6E1D22F39AA024473B62BB7A589D634C193D7F5D3EB1F9D1966BAADF0B4D315,PNC,4
sha256,App_name,Number of category
F800393F5CACAD5CD99DC820BE3168CE8B8E5672CE71E03E256729589CCFED50,GS Verify,3
sha256,App_name,Number of category
A895009B1370333897A07CAFAFE5D117DC6B2E22D245A518C9C1C1F3F58FC826,BofA,4
sha256,App_name,Number of category
E6FAFBD0AD0AE607A6050FA2FC836758AF4AB16D19D7ABB92A8A69641D2CA5CD,Truist,4
sha256,App_name,Number of category
7377C54B8C5F945A601032822FBCFB6077C75680E8CEB0A34CC7D86AFBA0BFA5,USAA,6
sha256,App_name,Number of category
1F8A35A563F4F43A9BA01EFCB17B91899C4BE29FA557BF27857811059B08DBE4,Wells Fargo,4
sha256,App_name,Number of category
8C94732F4675A7E8569AF5B4651019900E45864BC8DBFB6D38A57495E6EC7D2E,StockPlan,3
sha256,App_name,Number of category
AE38D89BF8FA3841BBB90AEA03B506DEA22819248F9DEEC495A4CCD8921B4477,TD Bank (US),3
sha256,App_name,Number of category
A2EEFB090718F62BC813CCEC981BCB03A08DA3DBAC5B24CE48DB03B877ED5944,U.S. Bank,3
sha256,App_name,Number of category
D3498D41CCB16C2532A808BB2D6AC8B0E04B1D64F6950C4ACB25F770721F8762,D3498D41CCB16C2532A808BB2D6AC8B0E04B1D64F6950C4ACB25F770721F8762.apk,3
